stId,basinId,cname
00F390,1400,雙崎(2)
00H540,1510,龍神橋
00H710,1510,集集(2)
00H810,1430,惠蓀(2)
00J810,NULL,北港(2)
00P470,1730,旗山(4)
00Q070,1730,屏東(5)
00S120,2200,鹿鳴橋
01A130,1140,石碇
01A160,NULL,林口(1)
01A170,1140,坪林
01A190,1140,碧湖
01A200,1140,火燒寮
01A210,1140,大豹
01A220,1140,三峽
01A350,NULL,富貴角
01A380,1140,瑞芳(2)
01A410,1140,中正橋
01A420,1140,竹子湖(2)
01A430,1140,福山(3)
01A440,1140,大桶山
01AF90,1140,三貂嶺
01AG00,1140,社后橋
01AG10,1140,熊空山
01B030,1140,五堵
01C400,1140,石門(3)
01C570,1140,龍壽社區
01D110,1300,清泉
01D180,1300,梅花
01D300,1290,關西(3)
01D310,1290,新埔(1)
01E030,1350,橫龍山
01E060,1400,象鼻(1)
01E080,1400,松安
01E120,NULL,大埔
01E170,1340,南庄(1)
01E230,1400,卓蘭(2)
01E240,1340,珊珠湖
01E270,1350,大湖(1)
01E290,NULL,三義(2)
01E310,NULL,南勢山
01E330,NULL,大坪頂
01E370,1350,和興
01E380,1340,大河
01E390,1350,大潭
01F100,1420,八仙山(1)
01F350,1400,雪嶺
01F680,1430,頭汴坑
01G090,NULL,頭汴
01G240,NULL,萬興(2)
01H110,1510,桶頭(2)
01H210,1430,翠巒
01H310,1430,翠峰
01H390,1510,望鄉
01H400,1510,東埔
01H470,1510,西巒
01H590,NULL,六分寮
01H630,1430,草屯(4)
01H680,1430,北山(2)
01H720,1430,清流(1)
01H780,1510,內茅埔(2)
01J100,1510,西螺(2)
01J930,NULL,林內(1)
01J960,1540,大埔
01J970,1510,草嶺(2)
01K060,NULL,褒忠(2)
01L360,1580,小公田(2)
01L390,1580,大湖山
01L480,1550,樟腦寮(2)
01L490,1550,沙坑
01L910,1540,中坑(3)
01M010,1540,溪口(3)
01N850,1630,南化(2)
01N860,1650,崎頂
01O070,1590,關子嶺(2)
01O080,1590,六溪
01O190,1590,東原
01O200,1590,北寮
01O710,1650,虎頭埤
01O750,1630,王爺宮
01O760,1630,關山
01P190,1660,木柵
01P280,1660,古亭坑
01P390,1670,金山
01P500,1670,阿蓮(2)
01P660,1730,甲仙(2)
01P770,1730,美濃(2)
01Q250,1740,泰武(1)
01Q350,1760,新來義
01Q360,1760,南和
01Q610,1730,古夏
01Q860,1850,牡丹(2)
01Q870,312,石門
01Q920,1730,新瑪家
01Q930,312,三地門
01R000,312,壽卡
01R030,312,大漢山
01R040,312,士文
01R440,1740,泗林
01S130,2200,武陵
01S210,NULL,知本(5)
01S260,NULL,忠勇
01S270,NULL,樟原(1)
01S430,2200,霧鹿
01S440,2200,新武(3)
01S470,2200,向陽(2)
01S560,NULL,南鵝
01S570,2200,上里
01S610,NULL,台東(7)
01S860,2200,電光
01S870,NULL,北源
01T220,2370,卓麓(4)
01T500,2420,北埔
01T560,2420,西林
01T720,2370,明里
01T730,NULL,豐濱
01T9J0,2370,六十石山
01T9L0,2420,東富
01U050,2560,土場(1)
01U060,2560,梵梵(2)
01U070,2560,留茂安
01U080,2560,南山
01U120,NULL,新寮(1)
01U130,NULL,冬山
01U190,2560,新北城
01U230,2500,大濁水
01U450,NULL,樟林
01U460,NULL,五峰
01U470,NULL,武塔
01U560,2560,太平山(1)
01U780,2560,四季
01U790,2560,清水
01V060,1730,梅山(2)
01V070,1730,天池
01W010,NULL,望安
21C050,1140,石門
21C070,1140,巴陵
21C080,1140,高義
21C090,1140,嘎拉賀
21C140,1140,霞雲
21D150,1140,玉峰
21D160,1140,新白石
21D170,1140,鎮西堡
21D350,1140,西丘斯山
21U110,1140,池端
466850,1140,五分山站
466880,1140,板橋
466900,1140,淡水
466910,NULL,鞍部
466920,1140,臺北
466930,1140,竹子湖
466940,NULL,基隆
466950,NULL,彭佳嶼
466990,2420,花蓮
467050,NULL,新屋
467060,NULL,蘇澳
467080,2560,宜蘭
467110,NULL,金門
467300,NULL,東吉島
467350,NULL,澎湖
467410,1650,臺南
467420,1650,永康
467440,NULL,高雄
467480,1550,嘉義
467490,1430,臺中
467530,1510,阿里山
467540,NULL,大武
467550,1510,玉山
467571,1300,新竹
467590,312,恆春
467610,NULL,成功
467620,NULL,蘭嶼
467650,1510,日月潭
467660,NULL,臺東
467730,1510,新阿里山
467770,NULL,梧棲
467780,NULL,七股
467790,NULL,墾丁
467990,NULL,馬祖
468100,NULL,東沙
88H890,1430,南豐
88O950,1630,羌黃坑
88R460,1760,來義
88S670,NULL,大鳥
88U830,2560,寒溪
88V560,1730,集來
A0A9M0,1140,新店
A0C540,1140,拉拉山
A0G720,NULL,彰師大
A0K420,NULL,麥寮
A0T780,NULL,太魯閣
A0W030,NULL,金門(合)
A0W080,NULL,吉貝
A0Z080,1420,合歡山莊
A1A9S0,1140,湖田國小
A1A9T0,1140,大屯國小
A1A9U0,1140,桃源國中
A1A9V0,1140,北投國小
A1A9W0,1140,陽明高中
A1A9X0,1140,太平國小
A1A9Y0,1140,民生國中
A1A9Z0,1140,中正國中
A1AA00,1140,三興國小
A1AA10,1140,格致國中
A1AA20,1140,平等國小
A1AA30,1140,至善國中
A1AA40,1140,碧湖國小
A1AA50,1140,東湖國小
A1AA60,1140,留公國中
A1AA70,1140,舊莊國小
A1AA80,1140,市政中心
A1AA90,1140,博嘉國小
A1AB00,1140,北政國中
A1AB10,1140,脾腹
A1AB20,1140,雙園
A1AB30,1140,中洲
A1AB40,1140,玉成
A1AB50,1140,建國
A1AB60,1140,福德
A1AB70,1140,奇岩
A1AB80,1140,雙溪
A1AC40,1140,指南
A1AC50,1140,舊莊
A1AC60,1140,九如
A1AC70,1140,挹翠
A1AC80,1140,明德
A1AC90,1140,溪山
A1AD00,1140,菁山
A1AD10,1140,擎天
A1AD20,NULL,竹湖
A1AD30,1140,安泰
A1AD40,NULL,油坑
A1AD50,1140,劍南
A1AD60,1140,水保
A1AD70,1140,茶場
A1AD80,1140,貴子
A1AG20,1140,大湖
A1AG30,1140,稻香
A1AG40,1140,四獸
A1AG50,1140,劍潭
A1AG60,1140,福州
A1AG70,1140,仙跡
A1AG80,1140,金面
C0A520,1140,山佳
C0A530,1140,坪林
C0A540,1140,四堵
C0A550,1140,泰平
C0A560,1140,福山
C0A570,1140,桶後
C0A580,1140,屈尺
C0A640,1140,石碇
C0A650,1140,火燒寮
C0A660,1140,瑞芳
C0A680,1140,五股
C0A710,NULL,林口
C0A860,NULL,大坪
C0A870,1140,五指山
C0A880,NULL,福隆
C0A890,NULL,雙溪
C0A920,NULL,富貴角
C0A931,NULL,三和
C0A940,NULL,金山
C0A950,NULL,鼻頭角
C0A970,NULL,三貂角
C0A980,1140,社子
C0A990,1140,大崙尾山
C0A9A0,1140,大直
C0A9B0,1140,石牌
C0A9C0,1140,天母
C0A9E0,1140,士林
C0A9F0,1140,內湖
C0A9G0,1140,南港
C0A9I1,1140,三重
C0AC40,NULL,大屯山
C0AC60,1140,三峽
C0AC70,1140,信義
C0AC80,1140,文山
C0ACA0,1140,新莊
C0AD00,NULL,三芝
C0AD10,NULL,八里
C0AD20,1140,深坑
C0AD30,1140,蘆洲
C0AD40,1140,土城
C0AD50,1140,鶯歌
C0AG90,1140,中和
C0AH00,1140,汐止
C0AH10,1140,永和
C0C460,1140,復興
C0C480,NULL,桃園
C0C490,NULL,八德
C0C520,NULL,中壢
C0C540,NULL,埔心
C0C590,NULL,觀音
C0C620,NULL,蘆竹
C0C630,NULL,大溪
C0C640,NULL,龜山
C0C650,NULL,平鎮
C0C660,NULL,楊梅
C0C670,NULL,龍潭
C0D360,1300,梅花
C0D390,1290,關西
C0D430,1340,峨眉
C0D480,1290,打鐵坑
C0D540,1300,橫山
C0D550,1300,雪霸
C0D560,1300,竹東
C0D570,NULL,香山
C0D580,NULL,寶山
C0D590,NULL,新豐
C0D650,NULL,湖口
C0D660,1300,新竹市東
C0E420,NULL,竹南
C0E430,1340,南庄
C0E440,1340,大河
C0E520,1350,大湖
C0E530,NULL,三義
C0E540,1350,後龍
C0E550,1350,明德
C0E590,NULL,通霄
C0E610,1350,馬都安
C0E730,1340,頭份
C0E740,1340,造橋
C0E750,1350,苗栗
C0E780,NULL,銅鑼
C0E790,1400,卓蘭
C0E810,NULL,西湖
C0E820,1350,獅潭
C0E830,NULL,苑裡
C0F000,1430,大肚
C0F850,1420,東勢
C0F861,1420,梨山
C0F900,1400,雙崎
C0F920,1420,石岡
C0F930,1420,大甲
C0F970,1430,大坑
C0F990,NULL,橫山
C0F9A0,1430,中竹林
C0F9I0,1430,神岡
C0F9K0,1420,大安
C0F9L0,1420,后里
C0F9M0,1420,豐原
C0F9N0,1430,大里
C0F9O0,1430,潭子
C0F9P0,NULL,清水
C0F9Q0,1400,外埔
C0F9R0,1430,龍井
C0F9S0,1430,烏日
C0F9T0,1430,西屯
C0F9U0,1430,南屯
C0F9V0,1420,新社
C0G620,1430,芬園
C0G640,NULL,鹿港
C0G650,NULL,員林
C0G660,NULL,溪湖
C0G710,1510,台西
C0G720,NULL,溪州
C0G770,NULL,福興
C0G780,NULL,秀水
C0G790,NULL,花壇
C0G800,NULL,埔鹽
C0G810,NULL,埔心
C0G820,NULL,田尾
C0G830,NULL,埤頭
C0G840,NULL,北斗
C0G850,NULL,田中
C0G860,NULL,社頭
C0G870,NULL,芳苑
C0G880,NULL,二水
C0G890,NULL,伸港
C0H950,1430,中寮
C0H960,1430,草屯
C0H990,1430,昆陽
C0H9A0,1510,神木村
C0H9C0,1430,合歡山
C0I010,1510,廬山
C0I090,1510,鳳凰
C0I110,1510,竹山
C0K240,1510,草嶺
C0K280,NULL,四湖
C0K291,NULL,宜梧
C0K300,1540,大埔
C0K330,NULL,虎尾
C0K390,NULL,土庫
C0K400,1540,斗六
C0K410,NULL,北港
C0K420,1510,西螺
C0K430,NULL,褒忠
C0M410,1630,馬頭山
C0M520,NULL,東後寮
C0M530,1580,奮起湖
C0M650,1550,朴子
C0M660,1540,溪口
C0O810,1630,曾文
C0O830,1630,北寮
C0O840,1630,王爺宮
C0O860,1630,大內
C0O900,1650,善化
C0O930,1630,玉井
C0O950,1630,安南
C0O960,1650,崎頂
C0O970,1650,虎頭埤
C0O980,1650,新市
C0O990,1660,媽廟
C0R100,1730,尾寮山
C0R130,1730,阿禮
C0R140,1730,瑪家
C0R150,1730,三地門
C0R160,1730,新圍
C0R170,1730,屏東
C0R190,1740,赤山
C0R220,1740,潮州
C0R240,1740,來義
C0R260,312,春日
C0R270,312,琉球嶼
C0R280,312,檳榔
C0R350,312,貓鼻頭
C0R360,312,墾丁
C0R370,312,佳樂水
C0R380,312,枋寮
C0R400,312,楓港
C0R420,1850,牡丹池山
C0R430,1740,東港
C0R470,1730,高樹
C0R480,1730,長治
C0R490,1730,九如
C0R500,1740,竹田
C0R510,1740,萬丹
C0R520,1740,崁頂
C0R530,1740,林邊
C0R540,1760,佳冬
C0R550,1760,新埤
C0R560,1730,新園
C0R570,1740,麟洛
C0R580,1740,南州
C0R590,1730,里港
C0R600,1760,舊泰武
C0S680,2200,紅葉山
C0S690,2150,太麻里
C0S700,NULL,知本
C0S710,2200,鹿野
C0S730,NULL,綠島
C0S740,2200,池上
C0S750,2200,向陽
C0S760,2200,紅石
C0S770,NULL,大溪山
C0S790,NULL,金崙
C0S810,NULL,東河
C0S830,NULL,長濱
C0S840,NULL,南田
C0T790,1420,大禹嶺
C0T820,NULL,天祥
C0T841,2420,新城
C0T870,2420,鯉魚潭
C0T900,2420,西林
C0T960,2420,光復
C0T9A0,2420,月眉山
C0T9B0,2420,水源
C0T9C0,NULL,富世
C0T9D0,NULL,和中
C0T9E0,2420,大坑
C0T9F0,2420,水璉
C0T9G0,2420,鳳林山
C0T9H0,2420,加路蘭山
C0T9I0,NULL,豐濱
C0T9M0,2370,靜浦
C0U520,2560,雙連埤
C0U600,NULL,礁溪
C0U620,2560,壯圍
C0U640,2560,羅東
C0U650,2560,玉蘭
C0U680,NULL,冬山
C0U710,2560,太平山
C0U730,2560,思源
C0U750,NULL,龜山島
C0U760,NULL,東澳
C0U770,NULL,南澳
C0U780,NULL,五結
C0V150,1630,表湖
C0V210,1730,復興
C0V250,1730,甲仙
C0V260,1730,月眉
C0V310,1730,美濃
C0V350,1730,溪埔
C0V360,1660,內門
C0V370,1660,古亭坑
C0V400,1670,阿公店
C0V430,NULL,左營
C0V440,1730,鳳山
C0V450,NULL,鳳森
C0V490,NULL,新興
C0V500,NULL,旗津
C0V530,1670,阿蓮
C0V610,NULL,梓官
C0V620,NULL,永安
C0V630,NULL,茄萣
C0V640,NULL,湖內
C0V650,1670,彌陀
C0V660,1670,岡山
C0V670,NULL,楠梓
C0V680,NULL,仁武
C0V690,NULL,鼓山
C0V700,NULL,三民
C0V710,NULL,苓雅
C0V720,1730,林園
C0V730,1730,大寮
C0V740,1730,旗山
C0V750,NULL,路竹
C0V760,NULL,橋頭
C0V770,NULL,大社
C0V790,1730,萬山
C0V800,1730,六龜
C0X050,1590,東河
C0X060,NULL,下營
C0X080,NULL,佳里
C0X100,1650,臺南市北區
C0X110,1650,臺南市南區
C0X120,NULL,麻豆
C0X130,NULL,官田
C0X140,NULL,西港
C0X150,1630,安定
C0X160,1660,仁德
C0X170,1650,關廟
C0X180,1650,山上
C0X190,1650,安平
C0X200,1630,左鎮
C0X210,NULL,白河
C0X240,1590,關子嶺
C0X250,1590,新營
C0Z020,2370,明里
C0Z050,2370,佳心
C0Z061,2370,玉里
C0Z070,2370,舞鶴
C0Z080,2370,富源
C0Z100,2420,東華
C1A630,1140,下盆
C1A730,1140,公館
C1A9N0,1140,四十份
C1AC50,1140,關渡
C1C510,NULL,水尾
C1D380,1290,新埔
C1D400,1300,鳥嘴山
C1D410,1340,白蘭
C1D420,1300,太閣南
C1D630,1300,飛鳳山
C1D640,1340,外坪
C1E451,1400,象鼻
C1E461,1400,松安
C1E480,1340,鳳美
C1E511,1400,新開
C1E601,NULL,南勢
C1E670,1340,南礦
C1E681,1350,南勢山
C1E691,1350,南湖
C1E701,1350,八卦
C1E711,1350,馬拉邦山
C1E721,1350,泰安
C1E770,1350,公館
C1F871,1420,上谷關
C1F891,1420,稍來
C1F911,1420,新伯公
C1F941,1400,雪嶺
C1F9B1,1430,桐林
C1F9C1,1420,白冷
C1F9D1,1420,白毛台
C1F9E1,1420,龍安
C1F9F1,1420,伯公龍
C1F9G1,1420,慶福山
C1F9H1,1400,烏石坑
C1F9J1,1430,清水林
C1F9W0,1420,德基
C1G631,NULL,彰化
C1G690,1510,下水埔
C1G700,NULL,中西
C1H000,1430,翠峰
C1H850,1430,翠巒
C1H860,1430,瑞岩
C1H870,1430,仁愛
C1H880,1430,凌霄
C1H890,1430,大肚城
C1H900,1430,清流
C1H910,1430,魚池
C1H920,1430,長福
C1H930,1430,北山
C1H941,1430,雙冬
C1H971,NULL,六分寮
C1H9B1,1420,阿眉
